age,life
0,77.64 
1,76.99 
2,76.01 
3,75.02 
4,74.04 
5,73.05 
6,72.06 
7,71.06 
8,70.07 
9,69.07 
10,68.07 
11,67.08 
12,66.08 
13,65.09 
14,64.10 
15,63.12 
16,62.14 
17,61.17 
18,60.19 
19,59.23 
20,58.26 
21,57.30 
22,56.34 
23,55.37 
24,54.41 
25,53.45 
26,52.48 
27,51.52 
28,50.55 
29,49.58 
30,48.62 
31,47.66 
32,46.69 
33,45.74 
34,44.78 
35,43.82 
36,42.87 
37,41.93 
38,40.98 
39,40.05 
40,39.12 
41,38.20 
42,37.29 
43,36.39 
44,35.50 
45,34.61 
46,33.73 
47,32.85 
48,31.99 
49,31.13 
50,30.28 
51,29.45 
52,28.62 
53,27.79 
54,26.98 
55,26.17 
56,25.36 
57,24.57 
58,23.78 
59,22.99 
60,22.21 
61,21.44 
62,20.67 
63,19.91 
64,19.16 
65,18.42 
66,17.68 
67,16.96 
68,16.24 
69,15.54 
70,14.84 
71,14.17 
72,13.50 
73,12.85 
74,12.21 
75,11.59 
76,10.99 
77,10.39 
78,9.81 
79,9.24 
80,8.68 
81,8.13 
82,7.59 
83,7.06 
84,6.53 
85+,6.00 
